scheme_key,scheme_title,profile_key,profile_title,requested_cfl,actual_cfl,steps,l1_error,l2_error,max_abs_error,total_variation_ratio,overshoot,undershoot
upwind,Upwind,gaussian,Gaussian pulse,0.2,0.2,1280,0.04511794851145002,0.0808951189625417,0.2683648456408446,0.7316123915208964,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.2,0.2,1280,0.1244412691011823,0.19236353622396443,0.5986284837560003,0.39833754180990144,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.2,0.2,1280,0.002562991657407956,0.005036744032856436,0.015796626386185286,0.9992113160581396,0.0,2.656968572141257e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.2,0.2,1280,0.003956745076064576,0.010117524396906321,0.05398282568371893,0.9461588498213429,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.25,0.25,1024,0.04303035979249104,0.07742834825088434,0.2575045368889042,0.7424736261560291,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.25,0.25,1024,0.11210024087319792,0.17746482870064947,0.5558218455579806,0.44319511413518076,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.25,0.25,1024,0.0025024661159991153,0.00491783664210935,0.015415070159112365,0.9991419028382812,0.0,4.1225217203022626e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.25,0.25,1024,0.003769384510339925,0.00965685531121332,0.051936731851248585,0.9481567586737183,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.3,0.30011723329425555,853,0.0408648144130158,0.07381028337534036,0.2461173867896137,0.7538617447198429,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.3,0.30011723329425555,853,0.1015811884285897,0.16407898546500058,0.5171769324871975,0.48248733391445386,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.3,0.30011723329425555,853,0.002428441221473071,0.004772469569874621,0.014950006668687954,0.9990778908879145,0.0,5.594251295361139e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.3,0.30011723329425555,853,0.0035746753442589476,0.009185491791442815,0.04979771424400803,0.9502482969104008,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.35,0.35020519835841313,731,0.03862329530241114,0.07004106200423382,0.23419564366457046,0.7657845003214824,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.35,0.35020519835841313,731,0.09232530831638008,0.1517682510310919,0.4814089642477172,0.5184601985907611,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.35,0.35020519835841313,731,0.0023411128831266636,0.004601015881636846,0.014402942270467234,0.9990198914150771,0.0,5.70644987951418e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.35,0.35020519835841313,731,0.0033760711756708273,0.00870229538776412,0.04756766650248456,0.9524298691789497,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.4,0.4,640,0.036313939430406714,0.06613105451566156,0.22176356048264134,0.7782176384743481,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.4,0.4,640,0.08400974601533619,0.14026348614794376,0.44772870579554325,0.5522060963079182,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.4,0.4,640,0.002241141082352087,0.004404642330047961,0.013777908536177219,0.9989684118697777,0.0,4.8771329500415555e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.4,0.4,640,0.0031692257550041776,0.008208378652875553,0.04525460101823353,0.9547415625389825,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.45,0.44991212653778556,569,0.033913395193353464,0.06203679146276289,0.20867285438458194,0.7913094548966246,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.45,0.44991212653778556,569,0.07628257561095117,0.12922935183619588,0.4151484683726866,0.5848084234424229,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.45,0.44991212653778556,569,0.0021278399260111817,0.0041818722919461804,0.01307053133283631,0.998923110141709,0.0,3.184516306177266e-15
