scheme_key,scheme_title,profile_key,profile_title,requested_cfl,actual_cfl,steps,l1_error,l2_error,max_abs_error,total_variation_ratio,overshoot,undershoot
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.4,0.4,640,0.002241141082352087,0.004404642330047961,0.013777908536177219,0.9989684118697777,0.0,4.8771329500415555e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.4,0.4,640,0.0031692257550041776,0.008208378652875553,0.04525460101823353,0.9547415625389825,0.0,0.0
tvd-mc,TVD MC,gaussian,Gaussian pulse,0.4,0.4,640,0.0004245516823212573,0.0014059537671140248,0.011592459140752354,0.9884241033894469,0.0,0.0
tvd-superbee,TVD Superbee,gaussian,Gaussian pulse,0.4,0.4,640,0.0022812493419843054,0.00451760972731173,0.02317205397674771,0.9957365601352034,0.0,4.52436108750222e-15
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.55,0.5505376344086022,465,0.0018591542783607132,0.003653801720384126,0.011399627755214747,0.998850690097496,0.0,1.1833331460898662e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.55,0.5505376344086022,465,0.002514297576906725,0.006606743517691571,0.03761346871140192,0.9623833426201476,0.0,0.0
tvd-mc,TVD MC,gaussian,Gaussian pulse,0.55,0.5505376344086022,465,0.00029900883170570807,0.0011571827572013516,0.010132743932058541,0.9898663970681871,0.0,3.264320079809826e-16
tvd-superbee,TVD Superbee,gaussian,Gaussian pulse,0.55,0.5505376344086022,465,0.001847768837569962,0.003820798900429802,0.02189479661554128,0.9959055738009396,0.0,4.039238662897799e-15
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0013627084622854376,0.0026783519902884682,0.008331006241303895,0.998892461577361,0.0,7.428170040656746e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0017704089564414855,0.004777655767890274,0.028814422488739,0.9711831347788514,0.0,0.0
tvd-mc,TVD MC,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0003265934132970978,0.001018824856482308,0.008305279397855858,0.9916940165250447,0.0,9.564486897506725e-16
tvd-superbee,TVD Superbee,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0013454410359730396,0.002953017249725589,0.017859692880838662,0.9963381212205559,0.0,1.1090651141925391e-15
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.000738391029686405,0.00145154254211356,0.004499030471519783,0.9993932528018471,0.0,3.4198689388456737e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.0008997338823077258,0.002602464492442457,0.01785578662435161,0.9821426996577043,0.0,1.742444281382216e-15
tvd-mc,TVD MC,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.00024823558111270973,0.0007255810598831496,0.005651221283425878,0.9944038308077624,0.0,1.5440414749411079e-15
tvd-superbee,TVD Superbee,gaussian,Gaussian pulse,0.85,0.8504983388704319,301,0.0007333253695890835,0.0017754646110648858,0.014153540968396161,0.9972009460172659,0.0,3.455002695834375e-16
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.00025185431989943916,0.0004951864003818699,0.0015307294582399544,0.9997938847105374,0.0,0.0
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.0003103038728312604,0.0009680951286688285,0.007976563941066828,0.9920227598485707,0.0,2.1881068461150416e-15
tvd-mc,TVD MC,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.00010108724327785572,0.00033588069070021083,0.0029224511846652756,0.9972261991798084,0.0,8.696897637953456e-16
tvd-superbee,TVD Superbee,gaussian,Gaussian pulse,0.95,0.9516728624535316,269,0.00027127904530096543,0.0007465656227433727,0.007197971345347276,0.9983742221440319,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.4,0.4,640,0.04837082208961635,0.11343835302234977,0.6287068025314048,2.108181604759081,0.24150856372693696,0.23676344369550914
tvd-minmod,TVD minmod,square,Square pulse,0.4,0.4,640,0.028525899123493105,0.08771105231056966,0.45385213065645325,0.9998134137068055,0.0,8.75749761486177e-15
tvd-mc,TVD MC,square,Square pulse,0.4,0.4,640,0.014801982231871524,0.06698505388878746,0.4349817031318436,1.0000000000000568,8.881784197001252e-16,3.3704449469958367e-14
tvd-superbee,TVD Superbee,square,Square pulse,0.4,0.4,640,0.007038492026584279,0.044615042849806094,0.3527117861074436,1.0000000000000737,1.7763568394002505e-14,3.561547963251756e-14
lax-wendroff,Lax-Wendroff,square,Square pulse,0.55,0.5505376344086022,465,0.04250580463582711,0.10625155247184812,0.6162762157442788,1.9209358833890853,0.22920540341803664,0.2293672255424447
tvd-minmod,TVD minmod,square,Square pulse,0.55,0.5505376344086022,465,0.025806502621410946,0.08336184891475383,0.4447740752409205,0.9999520771985534,0.0,8.153174572333968e-15
tvd-mc,TVD MC,square,Square pulse,0.55,0.5505376344086022,465,0.013723391816352414,0.06436140901326697,0.4230521397978664,1.000000000000055,7.993605777301127e-15,3.182380609658238e-14
tvd-superbee,TVD Superbee,square,Square pulse,0.55,0.5505376344086022,465,0.00687836491391393,0.044010507035911965,0.3463564028119597,1.000000000000068,2.0872192862952943e-14,3.3251106182251507e-14
lax-wendroff,Lax-Wendroff,square,Square pulse,0.7,0.6994535519125683,366,0.03558482391727238,0.09813804210050639,0.6027849897993471,1.7539750018280058,0.21212541017833453,0.212132148979158
