scheme_key,scheme_title,profile_key,profile_title,requested_cfl,actual_cfl,steps,l1_error,l2_error,max_abs_error,total_variation_ratio,overshoot,undershoot
upwind,Upwind,gaussian,Gaussian pulse,0.4,0.4,640,0.036313939430406714,0.06613105451566156,0.22176356048264134,0.7782176384743481,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.4,0.4,640,0.08400974601533619,0.14026348614794376,0.44772870579554325,0.5522060963079182,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.4,0.4,640,0.002241141082352087,0.004404642330047961,0.013777908536177219,0.9989684118697777,0.0,4.8771329500415555e-15
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.4,0.4,640,0.0031692257550041776,0.008208378652875553,0.04525460101823353,0.9547415625389825,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.020512331248844894,0.03841267832598432,0.131591763545152,0.8683970808028009,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.042180192404970604,0.07603860125347123,0.2529466469282188,0.7470319039030777,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0013627084622854376,0.0026783519902884682,0.008331006241303895,0.998892461577361,0.0,7.428170040656746e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.7,0.6994535519125683,366,0.0017704089564414855,0.004777655767890274,0.028814422488739,0.9711831347788514,0.0,0.0
upwind,Upwind,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.007396252043094456,0.014167147380599184,0.04949140294858956,0.9505044014353232,0.0,0.0
lax-friedrichs,Lax-Friedrichs,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.014795000540492917,0.027978404029768717,0.09665773295024527,0.9035184737759648,0.0,0.0
lax-wendroff,Lax-Wendroff,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.0005004468481584484,0.0009838688277797425,0.0030454863475571914,0.9995891388991281,0.0,1.7975240392211079e-16
tvd-minmod,TVD minmod,gaussian,Gaussian pulse,0.9,0.9014084507042254,284,0.0006143864425895074,0.0018140144494819858,0.013325499194325574,0.9866733711412341,0.0,3.596885807509188e-15
upwind,Upwind,square,Square pulse,0.4,0.4,640,0.07721834032164038,0.15095280071768313,0.4851171443515844,0.9364088689986196,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.4,0.4,640,0.14126782346335087,0.22004088568467103,0.5121398393727654,0.6788040322172663,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.4,0.4,640,0.04837082208961635,0.11343835302234977,0.6287068025314048,2.108181604759081,0.24150856372693696,0.23676344369550914
tvd-minmod,TVD minmod,square,Square pulse,0.4,0.4,640,0.028525899123493105,0.08771105231056966,0.45385213065645325,0.9998134137068055,0.0,8.75749761486177e-15
upwind,Upwind,square,Square pulse,0.7,0.6994535519125683,366,0.054630396816768026,0.12644520087301267,0.48029248093033283,0.9913513697191255,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.7,0.6994535519125683,366,0.08507123600589268,0.1590675849600191,0.47844816945949864,0.9080262624466291,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.7,0.6994535519125683,366,0.03558482391727238,0.09813804210050639,0.6027849897993471,1.7539750018280058,0.21212541017833453,0.212132148979158
tvd-minmod,TVD minmod,square,Square pulse,0.7,0.6994535519125683,366,0.02245136697449823,0.07782992656300639,0.4459990970772373,0.9999956313243828,0.0,6.4792811128174645e-15
upwind,Upwind,square,Square pulse,0.9,0.9014084507042254,284,0.03122219946511801,0.09551689283704642,0.47093030122924884,0.9999968011895999,0.0,0.0
lax-friedrichs,Lax-Friedrichs,square,Square pulse,0.9,0.9014084507042254,284,0.045212191239253165,0.114842792665416,0.46175874087706126,0.9986645198055214,0.0,0.0
lax-wendroff,Lax-Wendroff,square,Square pulse,0.9,0.9014084507042254,284,0.022559702763351674,0.07827373218041263,0.5663475585400403,1.4976070296437631,0.17634510886369603,0.17634510832976552
tvd-minmod,TVD minmod,square,Square pulse,0.9,0.9014084507042254,284,0.015155922367603833,0.06394499705075848,0.4230393597967188,0.9999999999661431,0.0,3.2167263409927937e-15
