scheme_key,scheme_title,requested_cfl,actual_cfl,diffusion_coeff,dispersion_coeff,gaussian_l2_error,square_l2_error,square_overshoot,square_total_variation_ratio
upwind,Upwind,0.2,0.2,0.07999999931965433,0.015999999568348976,0.0808951189625417,0.1633906856841061,0.0,0.8919132575568831
lax-friedrichs,Lax-Friedrichs,0.2,0.2,0.48000001401001113,-0.06400000514230371,0.19236353622396443,0.27684333577481723,0.0,0.48552910629472734
lax-wendroff,Lax-Wendroff,0.2,0.2,1.1207781643454492e-09,0.03199999860730236,0.005036744032856436,0.1217180398540178,0.2604102255202083,2.5383148212845543
tvd-minmod,TVD minmod,0.2,0.2,,,0.010117524396906321,0.09260771240276061,0.0,0.9994296268586397
tvd-mc,TVD MC,0.2,0.2,,,0.0022513208247991524,0.07159034235006663,0.0,1.0000000000000697
tvd-superbee,TVD Superbee,0.2,0.2,,,0.005313421539727932,0.04427890003235706,1.2656542480726785e-14,1.0000000000000866
upwind,Upwind,0.35,0.35020519835841313,0.11375000127009294,0.011374999075115785,0.07004106200423382,0.15422345326757816,0.0,0.9253410249042945
lax-friedrichs,Lax-Friedrichs,0.35,0.35020519835841313,0.4387500088784669,-0.10237500790201697,0.1517682510310919,0.23249416638545853,0.0,0.6360114548353922
lax-wendroff,Lax-Wendroff,0.35,0.35020519835841313,4.150559881208856e-09,0.051187497942368515,0.004601015881636846,0.11562169251631185,0.24614447386453442,2.193744406274515
tvd-minmod,TVD minmod,0.35,0.35020519835841313,,,0.00870229538776412,0.08899790626166346,0.0,0.9997402239273928
tvd-mc,TVD MC,0.35,0.35020519835841313,,,0.0015579133167647895,0.06798156028083642,1.1102230246251565e-15,1.0000000000000624
tvd-superbee,TVD Superbee,0.35,0.35020519835841313,,,0.004725248813571469,0.044342397585732996,1.5765166949677223e-14,1.0000000000000786
upwind,Upwind,0.5,0.5,0.12500000071851178,0.0,0.0577384491934667,0.14389517117307432,0.0,0.9578446135326542
lax-friedrichs,Lax-Friedrichs,0.5,0.5,0.37500000237032116,-0.1250000064356069,0.11847255891533028,0.19776912849418046,0.0,0.759599677181663
